participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.is_final_winner,player.payoff,group.auctioneer_utility,predict.player.bid,predict.player.is_dutch_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.auctioneer_utility
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,1,2,4,50,4,0,1,25.76833892,25,0,0,12.76003901,3.2,0,0,23.6,26.4,26.4
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,2,1,5,50,47,0,1,8.555998802,42,0,0,35.17231296,37.6,1,9.4,12.4,37.6,37.6
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,3,3,3,50,23,0,1,8.671601057,42,0,0,35.08006236,18.4,0,0,12.4,37.6,37.6
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,4,2,2,50,8,0,1,19.80819654,31,0,0,19.33297224,6.4,0,0,24.4,25.6,25.6
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,5,2,2,50,9,0,1,14.64650989,36,0,0,25.98178724,7.2,0,0,20.4,29.6,29.6
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,6,2,5,50,1,0,1,11.76743841,39,0,0,30.28032814,0.8,0,0,30.8,19.2,19.2
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,7,2,3,50,44,1,1,8.855061769,42,1,2,34.93366071,35.2,1,8.8,14.8,35.2,35.2
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,8,3,2,50,4,0,1,31.05243611,19,0,0,7.790070564,3.2,0,0,32.4,17.6,17.6
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,9,2,4,50,18,0,1,23.44423461,27,0,0,14.97310765,14.4,0,0,23.6,26.4,26.4
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,10,2,3,50,34,1,1,19.80782223,31,1,2,19.33319271,27.2,0,0,22,28,28
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,11,2,5,50,39,0,1,13.85330153,37,0,0,27.26112902,31.2,0,0,18,32,32
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,12,1,5,50,36,0,1,11.01274681,39,0,0,30.83955461,28.8,0,0,17.2,32.8,32.8
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,13,3,1,50,40,1,1,12.41365981,38,1,2,29.03733762,32,1,8,18,32,32
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,14,1,2,50,18,0,1,12.0343864,38,0,0,29.31117302,14.4,0,0,10.8,39.2,39.2
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,15,2,5,50,8,0,1,15.64728308,35,0,0,24.59455675,6.4,0,0,15.6,34.4,34.4
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,16,1,5,50,9,0,1,9.330028772,41,0,0,33.73190759,7.2,0,0,13.2,36.8,36.8
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,17,3,4,50,44,0,1,8.218521595,42,0,0,35.44161977,35.2,0,0,10.8,39.2,39.2
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,18,1,5,50,4,0,1,13.77705884,37,0,0,27.31472764,3.2,0,0,12.4,37.6,37.6
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,19,3,5,50,24,0,1,5.589924097,45,0,0,40.2206149,19.2,0,0,12.4,37.6,37.6
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,20,3,1,50,18,0,1,22.38588476,28,0,0,16.09070931,14.4,0,0,18.8,31.2,31.2
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,1,2,5,50,33,0,1,25.76833892,25,0,0,12.76003901,26.4,1,6.6,23.6,26.4,26.4
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,2,2,2,50,32,0,1,5.042181253,45,0,0,40.68893503,25.6,0,0,12.4,37.6,37.6
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,3,3,5,50,3,0,1,8.671601057,42,0,0,35.08006236,2.4,0,0,12.4,37.6,37.6
