,session.code,participant.code,session_type,d_correctrate_type,h_dutch_correctrate_type,h_contest_correctrate_type,h_english_correctrate_type,session_discount
0,ogo32l47,xpve5jjr,05_D2H1,"High,Inaccurate","High,Accurate",High,"High,Inaccurate",0.019
1,ogo32l47,4uwxoyym,05_D2H1,"High,Accurate","High,Accurate",Low,"Low,Inaccurate",0.019
2,ogo32l47,vsnra3b2,05_D2H1,"High,Accurate","High,Inaccurate",High,"High,Inaccurate",0.019
3,ogo32l47,t1bd9l7t,05_D2H1,"High,Accurate","High,Accurate",High,"High,Accurate",0.019
4,ogo32l47,dhvmgqvp,05_D2H1,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
5,ogo32l47,co853jdf,05_D2H1,"High,Inaccurate","High,Inaccurate",Low,"Low,Inaccurate",0.019
6,ogo32l47,o0hl9fts,05_D2H1,"High,Accurate","High,Accurate",High,"High,Inaccurate",0.019
7,ogo32l47,fcn7ugft,05_D2H1,"High,Inaccurate","High,Accurate",High,"Low,Accurate",0.019
8,ogo32l47,mdplufxt,05_D2H1,"High,Accurate","High,Inaccurate",Low,"Low,Inaccurate",0.019
9,ogo32l47,mov11d6q,05_D2H1,"High,Accurate","High,Inaccurate",High,"Low,Accurate",0.019
10,ogo32l47,ycapi7qs,05_D2H1,"High,Accurate","High,Inaccurate",High,"Low,Accurate",0.019
11,ogo32l47,631hrbiu,05_D2H1,"High,Inaccurate","High,Inaccurate",High,"Low,Accurate",0.019
12,ogo32l47,oxnhhokq,05_D2H1,"High,Accurate","High,Inaccurate",High,"Low,Accurate",0.019
13,ogo32l47,ptz6jcy9,05_D2H1,"High,Accurate","High,Inaccurate",High,"High,Inaccurate",0.019
14,ogo32l47,5qx58s2r,05_D2H1,"High,Inaccurate","High,Accurate",Low,"Low,Inaccurate",0.019
15,cbdt6t3s,p9h85kcr,02_D2H1,"High,Accurate","High,Accurate",High,"High,Inaccurate",0.019
16,cbdt6t3s,mxwxkzz6,02_D2H1,"High,Inaccurate","High,Inaccurate",High,"High,Inaccurate",0.019
17,cbdt6t3s,sgan0bdv,02_D2H1,"High,Accurate",Low,High,"High,Inaccurate",0.019
18,cbdt6t3s,cwnfbv11,02_D2H1,"High,Inaccurate",Low,High,"Low,Accurate",0.019
19,cbdt6t3s,6akmy4kr,02_D2H1,Low,Low,High,"High,Inaccurate",0.019
20,cbdt6t3s,ece1g596,02_D2H1,Low,Low,Low,"Low,Inaccurate",0.019
21,cbdt6t3s,8vdn61jw,02_D2H1,"High,Inaccurate","High,Inaccurate",High,"High,Inaccurate",0.019
22,cbdt6t3s,569rkdmi,02_D2H1,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
23,cbdt6t3s,un0gw1cl,02_D2H1,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
24,cbdt6t3s,hru4gpvu,02_D2H1,"High,Accurate",Low,High,"High,Inaccurate",0.019
25,nli0vb0t,78zvyywq,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
26,nli0vb0t,xfp6redl,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
27,nli0vb0t,l8zmfxbp,02_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.019
28,nli0vb0t,nytb287q,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
29,nli0vb0t,125plpb3,02_D1H2,"High,Inaccurate","High,Inaccurate",High,"Low,Accurate",0.019
30,nli0vb0t,ybapfguj,02_D1H2,"High,Accurate","High,Inaccurate",High,"High,Accurate",0.019
31,nli0vb0t,0bpzxu3k,02_D1H2,"High,Accurate",Low,High,"High,Inaccurate",0.019
32,nli0vb0t,ql1bcebi,02_D1H2,"High,Accurate","High,Inaccurate",High,"High,Inaccurate",0.019
33,nli0vb0t,kmgpsss2,02_D1H2,"High,Inaccurate",Low,High,"High,Inaccurate",0.019
34,nli0vb0t,si42qbgf,02_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Inaccurate",0.019
35,15t0rnnr,zdnh7x5w,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.019
36,15t0rnnr,t7atobjm,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
37,15t0rnnr,2v28o8ao,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.019
38,15t0rnnr,kt4qj72f,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
39,15t0rnnr,ovsmhled,05_D1H2,"High,Accurate",Low,High,"Low,Inaccurate",0.019
40,15t0rnnr,v2fxgek6,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
41,15t0rnnr,serh36i8,05_D1H2,"High,Accurate",Low,High,"High,Accurate",0.019
42,15t0rnnr,stv753dg,05_D1H2,"High,Accurate",Low,High,"High,Accurate",0.019
43,15t0rnnr,77i4h44s,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.019
44,15t0rnnr,b2lhxoes,05_D1H2,"High,Accurate",Low,High,"High,Accurate",0.019
45,w4lqxa01,8vp5cg8d,05_D1H2,"High,Accurate","High,Inaccurate",High,"High,Accurate",0.019
46,w4lqxa01,99eo3cv9,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"High,Accurate",0.019
47,w4lqxa01,5ijp1psm,05_D1H2,"High,Accurate","High,Accurate",High,"Low,Accurate",0.019
48,w4lqxa01,iw9n3s9j,05_D1H2,"High,Inaccurate","High,Inaccurate",High,"Low,Inaccurate",0.019
49,w4lqxa01,71cpbfni,05_D1H2,"High,Inaccurate",Low,High,"High,Accurate",0.019
50,w4lqxa01,8wo14i1u,05_D1H2,"High,Accurate",Low,High,"High,Accurate",0.019
