participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.is_final_winner,player.payoff,group.auctioneer_utility,predict.player.bid,predict.player.is_dutch_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.auctioneer_utility
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,1,1,2,50,19.0,0,1,13.5754385,37.0,0,0,27.456466734499998,12.18417378287854,0.0,0.0,22.506515846237736,27.493484153762264,15.736615955038472
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,2,1,1,50,6.0,0,1,16.61017561,34.0,0,0,23.26982655594,3.6077680187044088,0.0,0.0,39.14400373650872,10.855996263491281,2.7820002557603605
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,3,2,2,50,26.0,1,1,31.85439014,19.0,1,3,7.500565159460001,16.839027099846827,1.0,3.389024192613851,33.16097290015317,16.839027099846827,6.229455194710484
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,4,3,1,50,45.0,1,1,22.49300122,28.0,1,10,16.033723350960003,29.492162609745183,1.0,9.465225448251488,20.507837390254817,29.492162609745183,18.000573583080644
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,5,1,2,50,13.0,0,1,10.40909743,40.0,0,0,32.0890859532,8.204336039790675,0.0,0.0,18.50899342299582,31.49100657700418,20.416536738275695
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,6,1,1,50,0.0,0,1,42.08781338,8.0,0,0,1.60265236624,-2.500819848380341e-15,0.0,0.0,42.45705234124146,7.542947658758542,1.4581725112105761
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,7,4,2,50,33.0,0,1,23.78164411,27.0,0,0,14.800016571570001,21.4988929329685,1.0,5.273015672801209,28.5011070670315,21.4988929329685,9.856790196170039
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,8,5,2,50,29.0,1,1,32.65740681,18.0,1,4,6.831166870980001,18.835709977758107,1.0,4.1457952618987015,31.164290022241893,18.835709977758107,7.682680935846015
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,9,3,2,50,22.0,0,1,23.77816081,27.0,0,0,14.80180350447,14.178191503991203,0.0,0.0,19.841572868685297,30.158427131314703,18.789005170227295
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,10,1,2,50,32.0,1,1,28.87689137,22.0,1,5,9.92945940734,20.833015388964075,1.0,4.978546513302489,29.166984611035925,20.833015388964075,9.28792684318767
