participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.is_final_winner,player.payoff,group.auctioneer_utility,predict.player.bid,predict.player.is_dutch_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.auctioneer_utility
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,1,2,4,50,4.0,0,1,25.76833892,25.0,0,0,12.760039012999998,3.2,0.0,-0.0,23.599999999999998,26.400000000000002,26.400000000000002
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,2,1,5,50,47.0,0,1,8.555998802,42.0,0,0,35.172312956004,37.6,1.0,9.399999999999999,12.399999999999999,37.6,37.6
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,3,3,3,50,23.0,0,1,8.671601057,42.0,0,0,35.080062356514,18.400000000000002,0.0,-0.0,12.399999999999999,37.6,37.6
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,4,2,2,50,8.0,0,1,19.80819654,31.0,0,0,19.33297223794,6.4,0.0,-0.0,24.4,25.6,25.6
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,5,2,2,50,9.0,0,1,14.64650989,36.0,0,0,25.98178723524,7.2,0.0,-0.0,20.4,29.6,29.6
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,6,2,5,50,1.0,0,1,11.76743841,39.0,0,0,30.28032813819,0.8,0.0,-0.0,30.799999999999997,19.200000000000003,19.200000000000003
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,7,2,3,50,44.0,1,1,8.855061769,42.0,1,2,34.933660708338,35.2,1.0,8.799999999999997,14.799999999999997,35.2,35.2
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,8,3,2,50,4.0,0,1,31.05243611,19.0,0,0,7.79007056429,3.2,0.0,-0.0,32.4,17.6,17.6
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,9,2,4,50,18.0,0,1,23.44423461,27.0,0,0,14.973107645070002,14.4,0.0,-0.0,23.599999999999998,26.400000000000002,26.400000000000002
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,10,2,3,50,34.0,1,1,19.80782223,31.0,1,2,19.33319270653,27.200000000000003,0.0,0.0,22.0,28.0,28.0
