participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.is_final_winner,player.payoff,group.auctioneer_utility,predict.player.bid,predict.player.is_dutch_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.auctioneer_utility
hcs619b2,p10,10,18.18,50.2,131.6,2022/11/4 1:31:43,2022110401,yq06059v,212,0.1,0,1,0,02_D1H2,2,12,1,0,0,18,0.009,5,1,1,3,1,50,7.0,0,1,15.64228296,35.0,0,0.0,24.5978818316,3.5,0.0,-0.0,28.0,22.0,22.0
hcs619b2,p10,10,18.18,50.2,131.6,2022/11/4 1:31:43,2022110401,yq06059v,212,0.1,0,1,0,02_D1H2,2,12,1,0,0,18,0.009,5,1,2,3,2,50,38.0,1,1,4.612808228,46.0,1,0.0,41.968405608728,19.0,1.0,19.0,31.0,19.0,19.0
hcs619b2,p10,10,18.18,50.2,131.6,2022/11/4 1:31:43,2022110401,yq06059v,212,0.1,0,1,0,02_D1H2,2,12,1,0,0,18,0.009,5,1,3,2,2,50,38.0,1,1,13.08474445,37.0,1,0.9,27.80142465165,19.0,1.0,19.0,31.0,19.0,19.0
hcs619b2,p10,10,18.18,50.2,131.6,2022/11/4 1:31:43,2022110401,yq06059v,212,0.1,0,1,0,02_D1H2,2,12,1,0,0,18,0.009,5,1,4,5,1,50,20.0,0,1,27.71778178,23.0,0,0.0,10.88732936214,10.0,0.0,0.0,37.5,12.5,12.5
hcs619b2,p10,10,18.18,50.2,131.6,2022/11/4 1:31:43,2022110401,yq06059v,212,0.1,0,1,0,02_D1H2,2,12,1,0,0,18,0.009,5,1,5,1,1,50,20.0,0,1,30.7696569,20.0,0,0.0,8.307530378000001,10.0,0.0,-0.0,26.5,23.5,23.5
hcs619b2,p10,10,18.18,50.2,131.6,2022/11/4 1:31:43,2022110401,yq06059v,212,0.1,0,1,0,02_D1H2,2,12,1,0,0,18,0.009,5,1,6,1,2,50,23.0,1,1,27.63465261,23.0,1,0.0,10.92365680943,11.5,1.0,11.5,38.5,11.5,11.5
hcs619b2,p10,10,18.18,50.2,131.6,2022/11/4 1:31:43,2022110401,yq06059v,212,0.1,0,1,0,02_D1H2,2,12,1,0,0,18,0.009,5,1,7,2,1,50,4.0,0,1,28.98563695,22.0,0,0.0,9.8840037549,2.0,0.0,-0.0,35.0,15.0,15.0
hcs619b2,p10,10,18.18,50.2,131.6,2022/11/4 1:31:43,2022110401,yq06059v,212,0.1,0,1,0,02_D1H2,2,12,1,0,0,18,0.009,5,1,8,5,2,50,3.0,0,1,26.8339076,24.0,0,0.0,11.7637381344,1.5,0.0,-0.0,32.0,18.0,18.0
hcs619b2,p10,10,18.18,50.2,131.6,2022/11/4 1:31:43,2022110401,yq06059v,212,0.1,0,1,0,02_D1H2,2,12,1,0,0,18,0.009,5,1,9,2,2,50,11.0,0,1,39.64732504,11.0,0,0.0,2.7137090666400008,5.5,0.0,-0.0,36.0,14.0,14.0
hcs619b2,p10,10,18.18,50.2,131.6,2022/11/4 1:31:43,2022110401,yq06059v,212,0.1,0,1,0,02_D1H2,2,12,1,0,0,18,0.009,5,1,10,3,1,50,37.0,0,1,8.969940901,42.0,0,0.0,34.841987161002,18.5,0.0,0.0,26.5,23.5,23.5
