participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.contest_status,group.have_contest_winner,player.is_english_winner,player.english_dropout_elpased,group.english_time_elapsed,group.english_final_price,player.is_final_winner,group.final_price,player.payoff,group.auctioneer_utility,predict.player.optimal_dutch_bid,predict.player.is_dutch_winner,predict.player.contest_status,predict.player.english_dropout_elapsed,predict.player.is_english_winner,predict.player.is_final_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.english_time_elapsed,predict.group.english_final_price,predict.group.final_price,predict.group.auctioneer_utility,player.dropout_price,player.dropout_price.accurate,player.dropout_payoff,player.dropout_payoff.accurate,predict.player.dropout_price,predict.player.dropout_price.accurate,predict.player.dropout_payoff,predict.player.dropout_payoff.accurate
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,1,1,3,27,9.0,0,1,11.41140723,16.0,2,3.0,0,0.0,22.32360911,38.0,0,38.0,0.0,13.643318202519998,5.038583853275346,0.0,0.0,0.0,0.0,0.0,0.0,2.8652472428955136,24.134752757104486,10.865247242895514,35.0,35.0,25.869221166948968,16.0,15.58859277,-7.693,-7.265258806539934,25.0,24.134752757104486,-16.288,-15.525036034587275
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,2,2,5,27,6.0,0,1,12.0567739,15.0,0,2.0,0,0.0,6.197757244,22.0,0,22.0,0.0,14.369605981808002,3.118704380773951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,27.0,27.0,15.0,14.9432261,-9.972000000000001,-9.91366419521851,27.0,27.0,-21.0,-21.0
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,3,1,4,27,10.0,0,1,4.800351381,23.0,0,2.0,0,0.0,4.115204096,27.0,0,27.0,0.0,22.426320040299,5.699316983735735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,27.0,27.0,23.0,22.199648619,-13.468,-12.726712019863383,27.0,27.0,-17.0,-17.0
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,4,2,1,27,19.0,0,1,4.08626318,23.0,0,3.0,0,0.0,11.09833384,35.0,0,35.0,0.0,24.9022429817,11.899914652520051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,34.0,34.0,29.478,23.0,22.91373682,-4.144,-4.057669847973987,27.0,27.0,-8.0,-8.0
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,5,2,1,27,6.0,0,1,3.280691385,24.0,2,2.0,0,0.0,3.99862361,28.0,0,28.0,0.0,24.12740442266,3.118704380773951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,29.0,29.0,27.898,24.0,23.719308615,-18.485999999999997,-18.24249286309248,27.0,27.0,-21.0,-21.0
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,6,1,3,27,49.0,1,1,3.144359589,24.0,1,3.0,1,11.08015156,11.08015156,35.0,1,35.0,12.2,25.540700085915,27.0,1.0,1.0,9.0,1.0,1.0,11.947,0.0,27.0,9.0,36.0,36.0,29.844,35.0,34.935791971,12.236,12.263699673806707,36.0,36.0,11.947000000000001,11.947000000000001
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,7,1,4,27,33.0,1,1,2.477826595,25.0,1,4.0,0,2.586718798,6.131790161,31.0,0,31.0,0.0,25.928935730716,21.951922425187544,0.0,1.0,6.0,0.0,0.0,0.0,0.0,27.0,14.0,41.0,41.0,30.094,28.0,27.108892203,4.7749999999999995,5.622585751323335,33.0,33.0,0.0,0.0
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,8,1,2,27,45.0,1,1,2.848551989,25.0,1,2.0,1,14.78501606,14.78501606,39.0,1,39.0,5.1,25.933526075691,27.0,1.0,1.0,13.0,1.0,1.0,4.415,0.0,27.0,13.0,40.0,40.0,30.12,39.0,38.936464071,5.082,5.101239968205796,40.0,40.0,4.415,4.415
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,9,2,2,27,15.0,0,1,9.455847025,18.0,2,1.0,0,0.0,0.0,18.0,0,18.0,0.0,14.76610031745,9.101158592783271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,27.0,27.0,18.0,17.544152975,-3.243,-2.760667067058187,27.0,27.0,-12.0,-12.0
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,10,2,4,27,5.0,0,1,2.851428986,25.0,2,2.0,0,0.0,9.165097952,34.0,0,34.0,0.0,26.237323598052,2.5071909582188905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,34.0,34.0,29.478,25.0,24.148571013999998,-20.36,-19.639978127868186,27.0,27.0,-22.0,-22.0
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,11,2,1,27,9.0,0,1,4.824715376,23.0,2,1.0,0,0.0,0.0,23.0,0,23.0,0.0,20.891599380688,5.038583853275346,0.0,0.0,0.0,0.0,0.0,0.0,3.593599380631151,23.40640061936885,0.0,23.40640061936885,23.40640061936885,21.808249310766048,23.0,22.175284624,-14.504000000000001,-13.747387608777304,24.0,23.40640061936885,-15.405,-14.872338110454843
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,12,1,3,27,19.0,0,1,5.091123819,22.0,2,2.0,0,0.0,16.06609869,38.0,0,38.0,0.0,22.724485348502004,11.899914652520051,0.0,0.0,0.0,0.0,0.0,0.0,0.6762647832858484,26.32373521671415,12.676264783285848,39.0,39.0,29.10577559117037,22.0,21.908876181,-3.135,-3.042161220304498,27.0,26.32373521671415,-8.0,-7.368310274596718
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,13,2,1,27,7.0,0,1,21.57696438,6.0,2,2.0,0,0.0,16.09211802,22.0,0,22.0,0.0,6.254323556800001,3.746305193805355,0.0,0.0,0.0,0.0,0.0,0.0,2.1362139481596856,24.863786051840314,0.1362139481596855,25.0,25.0,23.9205967492483,6.0,5.42303562,0.811,1.2707294416979007,25.0,24.863786051840314,-18.324,-18.20723387221825
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,14,1,4,27,33.0,0,1,1.604793072,26.0,2,3.0,0,0.0,4.278328419,30.0,0,30.0,0.0,26.64662075013,21.951922425187544,0.0,1.0,8.865247242895514,0.0,0.0,0.0,2.8652472428955136,24.134752757104486,8.865247242895514,33.0,33.0,25.644979957409024,26.0,25.395206928,6.937,7.494955998876547,33.0,33.0,0.0,0.0
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,15,1,5,27,23.0,0,1,1.973165989,26.0,2,2.0,0,0.0,7.777590036,33.0,0,33.0,0.0,26.886275972325,14.74076853978944,0.0,1.0,0.3212257139204801,0.0,0.0,0.0,4.32122571392048,22.67877428607952,10.32122571392048,33.0,33.0,23.81918295474372,26.0,25.026834011,-3.0269999999999997,-2.0628275304226813,23.0,23.0,0.0,0.0
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,16,2,3,27,12.0,0,1,2.887822628,25.0,2,2.0,0,0.0,5.275588036,30.0,0,30.0,0.0,25.34685592152,7.0431197556304825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,12.0,39.0,39.0,30.108,25.0,24.112177372,-13.234,-12.426977751002902,27.0,27.0,-15.0,-15.0
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,17,2,5,27,49.0,1,1,2.923181295,25.0,1,3.0,1,8.828896761,8.828896761,33.0,1,33.0,14.4,25.631447058888,27.0,1.0,1.0,8.0,1.0,1.0,12.992,0.0,27.0,8.0,35.0,35.0,29.68,33.0,32.905715466,14.416,14.39201294110863,35.0,35.0,12.992,12.992
