participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.is_final_winner,player.payoff,group.auctioneer_utility,predict.player.bid,predict.player.is_dutch_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.auctioneer_utility
e00hndzd,p10,10,335,136,199,5/6/2022 1:11,2022050601,1a6f5vso,221,0.05,0,1,0,02_D2H1,2,26,1.3,0,0,15,0.0045,5,0,1,3,2,100,11,0,1,113.5043368,13,0,0,7.892304844,5.580624181,0,0,120.0567703,7.648638235,4.47000853
e00hndzd,p10,10,335,136,199,5/6/2022 1:11,2022050601,1a6f5vso,221,0.05,0,1,0,02_D2H1,2,26,1.3,0,0,15,0.0045,5,0,2,6,2,100,52,1,1,85.40448546,35,1,0,24.65291811,27.64256407,1,16.42644869,94.06466671,27.64256407,18.64191131
e00hndzd,p10,10,335,136,199,5/6/2022 1:11,2022050601,1a6f5vso,221,0.05,0,1,0,02_D2H1,2,26,1.3,0,0,15,0.0045,5,0,3,4,2,100,28,0,1,42.39829302,68,0,0,58.0200941,14.50328431,0,0,73.27204555,43.63688804,32.56908941
e00hndzd,p10,10,335,136,199,5/6/2022 1:11,2022050601,1a6f5vso,221,0.05,0,1,0,02_D2H1,2,26,1.3,0,0,15,0.0045,5,0,4,2,2,100,84,1,1,51.93731833,61,1,19,50.03323548,45.97125458,1,28.7828411,70.23736905,45.97125458,34.79429313
e00hndzd,p10,10,335,136,199,5/6/2022 1:11,2022050601,1a6f5vso,221,0.05,0,1,0,02_D2H1,2,26,1.3,0,0,15,0.0045,5,0,5,6,2,100,51,0,1,89.70568085,31,0,0,21.3738904,27.08370904,1,16.06879843,94.79117825,27.08370904,18.1969128
e00hndzd,p10,10,335,136,199,5/6/2022 1:11,2022050601,1a6f5vso,221,0.05,0,1,0,02_D2H1,2,26,1.3,0,0,15,0.0045,5,0,6,6,2,100,64,1,1,80.6898489,38,1,19,27.38618141,34.41850691,1,20.85149991,85.25594102,34.41850691,24.26103008
e00hndzd,p10,10,335,136,199,5/6/2022 1:11,2022050601,1a6f5vso,221,0.05,0,1,0,02_D2H1,2,26,1.3,0,0,15,0.0045,5,0,7,4,2,100,98,1,1,55.29866862,58,1,32,46.89772884,54.22592123,1,34.75734719,59.50630241,54.22592123,43.05628407
e00hndzd,p10,10,335,136,199,5/6/2022 1:11,2022050601,1a6f5vso,221,0.05,0,1,0,02_D2H1,2,26,1.3,0,0,15,0.0045,5,0,8,3,1,100,97,0,1,24.12357855,82,0,0,75.15261501,53.63217614,1,34.31890158,60.27817102,53.63217614,42.4415433
e00hndzd,p10,10,335,136,199,5/6/2022 1:11,2022050601,1a6f5vso,221,0.05,0,1,0,02_D2H1,2,26,1.3,0,0,15,0.0045,5,0,9,4,2,100,40,0,1,24.082232,82,0,0,75.16435107,20.9994541,0,0,67.18832724,48.31667135,37.07942253
e00hndzd,p10,10,335,136,199,5/6/2022 1:11,2022050601,1a6f5vso,221,0.05,0,1,0,02_D2H1,2,26,1.3,0,0,15,0.0045,5,0,10,1,2,100,45,1,1,93.48726058,29,1,11,19.6153173,23.75038487,1,13.95837774,99.12449966,23.75038487,15.6010752
e00hndzd,p10,10,335,136,199,5/6/2022 1:11,2022050601,1a6f5vso,221,0.05,0,1,0,02_D2H1,2,26,1.3,0,0,15,0.0045,5,0,11,2,1,100,95,1,1,40.28754354,70,1,22,60.2380183,52.44652454,1,33.44743003,61.8195181,52.44652454,41.22345921
