participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.is_final_winner,player.payoff,group.auctioneer_utility,predict.player.bid,predict.player.is_dutch_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.auctioneer_utility
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,1,2,4,50,4,0,1,25.76833892,25,0,0,12.76003901,3.274559132,0,0,22.59333534,27.40666466,15.64171332
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,2,1,5,50,47,0,1,8.555998802,42,0,0,35.17231296,39.07110202,1,6.282469752,10.92889798,39.07110202,30.95802435
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,3,3,3,50,23,0,1,8.671601057,42,0,0,35.08006236,19.0764211,0,0,10.92889798,39.07110202,30.95802435
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,4,2,2,50,8,0,1,19.80819654,31,0,0,19.33297224,6.591989584,0,0,23.42644025,26.57355975,14.74560547
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,5,2,2,50,9,0,1,14.64650989,36,0,0,25.98178724,7.423038182,0,0,19.26080015,30.73919985,19.49002973
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,6,2,5,50,1,0,1,11.76743841,39,0,0,30.28032814,0.807874617,0,0,30.09065932,19.90934068,8.526722113
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,7,2,3,50,44,1,1,8.855061769,42,1,2,34.93366071,36.57146671,1,5.533201463,13.42853329,36.57146671,27.24054471
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,8,3,2,50,4,0,1,31.05243611,19,0,0,7.790070564,3.274559132,0,0,31.75646473,18.24353527,7.235881767
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,9,2,4,50,18,0,1,23.44423461,27,0,0,14.97310765,14.91242689,0,0,22.59333534,27.40666466,15.64171332
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,10,2,3,50,34,1,1,19.80782223,31,1,2,19.33319271,28.23978206,0,0,20.92708898,29.07291102,17.5130945
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,11,2,5,50,39,0,1,13.85330153,37,0,0,27.26112902,32.40552507,0,0,16.76130024,33.23869976,22.65334706
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,12,1,5,50,36,0,1,11.01274681,39,0,0,30.83955461,29.90605053,0,0,15.92811828,34.07188172,23.76056344
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,13,3,1,50,40,1,1,12.41365981,38,1,2,29.03733762,33.23869976,1,4.608064759,16.76130024,33.23869976,22.65334706
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,14,1,2,50,18,0,1,12.0343864,38,0,0,29.31117302,14.91242689,0,0,9.262450849,40.73754915,33.56828776
