session.code,participant.code,session_type,session_discount,d_n_dutch_irrational_bid,d_round_dutch_irrational_bid,d_n_dutch_predicted_win,d_diff_dutch_predicted_win,d_round_dutch_predicted_win,d_n_dutch_predicted_lose,d_round_dutch_predicted_lose,d_n_dutch_lucky_win,d_diff_dutch_lucky_win,d_round_dutch_lucky_win,d_n_dutch_greedy_lose,d_diff_dutch_greedy_lose,d_round_dutch_greedy_lose,h_n_dutch_irrational_bid,h_round_dutch_irrational_bid,h_n_dutch_predicted_win,h_diff_dutch_predicted_win,h_round_dutch_predicted_win,h_n_dutch_predicted_lose,h_round_dutch_predicted_lose,h_n_dutch_lucky_win,h_diff_dutch_lucky_win,h_round_dutch_lucky_win,h_n_dutch_greedy_lose,h_diff_dutch_greedy_lose,h_round_dutch_greedy_lose,h_n_contest_correct_bid,h_round_contest_correct_bid,h_n_contest_correct_leave,h_round_contest_correct_leave,h_n_contest_irrational,h_round_contest_irrational,h_n_contest_regret,h_diff_contest_regret,h_round_contest_regret,h_n_english_irrational,h_diff_english_irrational,h_round_english_irrational,h_n_english_correct,h_diff_english_correct,h_round_english_correct
ogo32l47,xpve5jjr,05_D2H1,0.019,0,[],2,"[-5.428533289999997, -4.761300239999997]","[7, 13]",15,"[3, 4, 5, 6, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20]",1,[-2.7602179400000004],[10],0,[],[],0,[],6,"[2.0, 3.0, 2.0, 4.0, 2.0, 2.0]","[3, 4, 6, 7, 17, 20]",9,"[5, 8, 12, 13, 14, 15, 16, 18, 19]",1,[-0.7658102000000007],[9],2,"[2.916103790000001, 3.9022441999999984]","[10, 11]",12,"[3, 4, 6, 7, 8, 9, 10, 11, 12, 16, 17, 20]",5,"[5, 13, 14, 15, 18]",0,[],1,[3],[19],0,[],[],12,"[19, 5, 13, 9, 2, 7, 5, 3, 6, 2, 14, 13]","[3, 4, 6, 7, 8, 9, 10, 11, 12, 16, 17, 20]"
ogo32l47,4uwxoyym,05_D2H1,0.019,1,[6],0,[],[],17,"[3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0,[],[],0,[],[],2,"[8, 14]",1,[0.49885129000000106],[10],14,"[3, 5, 6, 7, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20]",0,[],[],1,[3.916103790000001],[4],5,"[9, 10, 12, 13, 15]",3,"[3, 7, 16]",9,"[5, 6, 8, 11, 14, 17, 18, 19, 20]",1,[18],[4],11,"[-21, -15, -16, -16, -5, -12, -1, -20, -23, -10, -7]","[5, 6, 8, 11, 13, 14, 15, 17, 18, 19, 20]",3,"[1, 9, 1]","[9, 10, 12]"
ogo32l47,vsnra3b2,05_D2H1,0.019,0,[],1,[0.40666466000000057],[9],17,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0,[],[],0,[],[],0,[],1,[5.443200990000001],[5],14,"[4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20]",0,[],[],3,"[5.442371640000001, 6.442371640000001, 12.561739750000001]","[3, 14, 19]",6,"[3, 5, 9, 10, 14, 19]",11,"[4, 6, 8, 11, 12, 13, 15, 16, 17, 18, 20]",0,[],1,[1],[7],0,[],[],6,"[13, 10, 1, 7, 13, 21]","[3, 5, 9, 10, 14, 19]"
ogo32l47,t1bd9l7t,05_D2H1,0.019,0,[],3,"[-3.0949294999999992, -2.7621147199999996, 4.405525070000003]","[9, 16, 20]",15,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19]",0,[],[],0,[],[],0,[],4,"[1.442371640000001, -4.738834700000002, 3.442371640000001, 8.0]","[9, 13, 16, 18]",11,"[3, 4, 6, 7, 10, 11, 12, 14, 15, 17, 19]",0,[],[],3,"[0.36746356999999996, 2.0, 3.1790883900000004]","[5, 8, 20]",12,"[3, 5, 7, 8, 9, 10, 13, 15, 16, 18, 19, 20]",5,"[4, 6, 11, 14, 17]",1,[12],0,[],[],1,[-20],[12],12,"[2, 3, 1, 2, 2, 1, 4, 1, 10, 24, 1, 13]","[3, 5, 7, 8, 9, 10, 13, 15, 16, 18, 19, 20]"
ogo32l47,dhvmgqvp,05_D2H1,0.019,0,[],6,"[-4.426440249999999, -6.0956765899999965, -3.761300239999997, -2.9281182799999996, 0.7382656400000016, 4.071102019999998]","[4, 8, 11, 14, 15, 16]",12,"[3, 5, 6, 7, 9, 10, 12, 13, 17, 18, 19, 20]",0,[],[],0,[],[],0,[],2,"[-3.2360891100000018, -3.030607795]","[5, 16]",10,"[3, 6, 7, 8, 9, 13, 15, 18, 19, 20]",3,"[-4.17133505, -0.030096679999999765, -7.097755800000002]","[4, 10, 17]",3,"[1.1790883900000004, 0.9161037900000011, 1.916103790000001]","[11, 12, 14]",12,"[4, 5, 6, 7, 8, 10, 11, 12, 14, 16, 17, 19]",6,"[3, 9, 13, 15, 18, 20]",0,[],0,[],[],1,[-1],[16],11,"[7, 5, 2, 6, 0, 1, 11, 7, 1, 1, 1]","[4, 5, 6, 7, 8, 10, 11, 12, 14, 17, 19]"
ogo32l47,co853jdf,05_D2H1,0.019,0,[],2,"[-5.2608001500000015, -5.428533289999997]","[5, 6]",16,"[3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0,[],[],0,[],[],1,[5],1,[2.0],[11],15,"[3, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",1,[-3.9706063699999987],[14],0,[],[],5,"[6, 11, 14, 16, 18]",8,"[3, 7, 9, 10, 12, 17, 19, 20]",4,"[4, 5, 8, 13]",1,[2],[15],6,"[-26, -15, -1, -3, -9, -7]","[4, 5, 6, 8, 13, 14]",3,"[13, 0, 1]","[11, 16, 18]"
ogo32l47,o0hl9fts,05_D2H1,0.019,0,[],1,[-2.0939494699999983],[13],17,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20]",0,[],[],0,[],[],0,[],0,[],[],17,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20]",0,[],[],1,[26.91610379],[15],7,"[3, 6, 9, 10, 15, 17, 20]",9,"[4, 5, 7, 8, 12, 14, 16, 18, 19]",0,[],2,"[1, 4]","[11, 13]",1,[-2],[3],6,"[0, 4, 5, 39, 5, 1]","[6, 9, 10, 15, 17, 20]"
ogo32l47,fcn7ugft,05_D2H1,0.019,0,[],5,"[-3.594474929999997, -5.4276417399999985, -4.594474929999997, -1.2548733999999993, -1.2624508500000005]","[3, 13, 14, 16, 17]",12,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 18, 19, 20]",1,[-5.093949469999998],[15],0,[],[],0,[],1,[-1.9111024699999994],[7],15,"[3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20]",1,[-2.501148709999999],[18],1,[2.916103790000001],[9],4,"[7, 8, 11, 18]",11,"[3, 4, 5, 6, 10, 13, 15, 16, 17, 19, 20]",0,[],3,"[17, 4, 2]","[9, 12, 14]",1,[-2],[11],3,"[3, 1, 5]","[7, 8, 18]"
ogo32l47,mdplufxt,05_D2H1,0.019,0,[],4,"[-2.5933353399999994, -3.7621147199999996, 0.07110201999999788, 3.7375491499999995]","[7, 17, 18, 19]",14,"[3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20]",0,[],[],0,[],[],0,[],2,"[-3.9706063699999987, 2.0]","[11, 13]",14,"[3, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 20]",2,"[-4.970606369999999, -4.464135550000002]","[12, 19]",0,[],[],4,"[11, 12, 13, 19]",1,[3],13,"[4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 20]",0,[],[],15,"[-20, -7, -22, -6, -23, -23, -27, -1, -15, -3, -7, -13, -16, -1, -22]","[4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20]",2,"[1, 11]","[11, 13]"
ogo32l47,mov11d6q,05_D2H1,0.019,0,[],1,[-2.928897980000002],[5],17,"[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0,[],[],0,[],[],0,[],1,[1.0],[16],14,"[3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 17, 18, 20]",3,"[-3.2360891100000018, -6.635803920000001, -4.030607795]","[10, 15, 19]",0,[],[],8,"[5, 7, 9, 10, 11, 15, 16, 19]",10,"[3, 4, 6, 8, 12, 13, 14, 17, 18, 20]",0,[],0,[],[],3,"[-1, -1, -1]","[9, 11, 19]",5,"[5, 0, 0, 1, 1]","[5, 7, 10, 15, 16]"
