participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.is_final_winner,player.payoff,group.auctioneer_utility,predict.player.bid,predict.player.is_dutch_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.auctioneer_utility
8vp5cg8d,p02,2,41.18,22.6,32.3,2022/10/27 3:07:41,2022102703,w4lqxa01,512,0.75,0,1,0,05_D1H2,2,32,1,0,0,28,0.019,10,1,1,2,5,50,18.0,0,1,20.96656799,30.0,0,0.0,18.0490562457,14.912426887951108,0.0,0.0,15.928118282888732,34.07188171711127,23.76056343700716
8vp5cg8d,p02,2,41.18,22.6,32.3,2022/10/27 3:07:41,2022102703,w4lqxa01,512,0.75,0,1,0,05_D1H2,2,32,1,0,0,28,0.019,10,1,2,1,2,50,45.0,1,1,10.73411417,40.0,1,0.0,31.842073230799997,37.40467339274806,0.0,0.0,11.762114722707047,38.23788527729295,29.692475802973576
8vp5cg8d,p02,2,41.18,22.6,32.3,2022/10/27 3:07:41,2022102703,w4lqxa01,512,0.75,0,1,0,05_D1H2,2,32,1,0,0,28,0.019,10,1,3,2,4,50,34.0,0,1,13.7724483,37.0,0,0.0,27.3179688451,28.239782055135425,0.0,0.0,10.928897976186853,39.07110202381315,30.95802435493976
8vp5cg8d,p02,2,41.18,22.6,32.3,2022/10/27 3:07:41,2022102703,w4lqxa01,512,0.75,0,1,0,05_D1H2,2,32,1,0,0,28,0.019,10,1,4,1,5,50,15.0,0,1,33.05881691,17.0,0,0.0,6.32200213807,12.414760040374919,0.0,0.0,35.087573112048894,14.912426887951108,4.970850382478812
8vp5cg8d,p02,2,41.18,22.6,32.3,2022/10/27 3:07:41,2022102703,w4lqxa01,512,0.75,0,1,0,05_D1H2,2,32,1,0,0,28,0.019,10,1,5,2,3,50,49.0,1,1,10.80274129,40.0,1,7.3,31.7899166196,40.73754915064639,1.0,6.808370496494193,9.262450849353613,40.73754915064639,33.56828776275759
8vp5cg8d,p02,2,41.18,22.6,32.3,2022/10/27 3:07:41,2022102703,w4lqxa01,512,0.75,0,1,0,05_D1H2,2,32,1,0,0,28,0.019,10,1,6,1,5,50,40.0,1,1,16.82113075,34.0,1,4.2,23.133549535500002,33.23869975616531,1.0,4.608064758747798,16.76130024383469,33.23869975616531,22.653347055937843
8vp5cg8d,p02,2,41.18,22.6,32.3,2022/10/27 3:07:41,2022102703,w4lqxa01,512,0.75,0,1,0,05_D1H2,2,32,1,0,0,28,0.019,10,1,7,1,1,50,45.0,1,1,12.81457067,38.0,1,5.4,28.74787997626,37.40467339274806,1.0,5.7776798404172505,12.595326607251941,37.40467339274806,28.45331591038234
8vp5cg8d,p02,2,41.18,22.6,32.3,2022/10/27 3:07:41,2022102703,w4lqxa01,512,0.75,0,1,0,05_D1H2,2,32,1,0,0,28,0.019,10,1,8,1,1,50,47.0,0,1,8.824745893,42.0,0,0.0,34.957852777386,39.07110202381315,0.0,0.0,10.095676587472063,39.90432341252794,32.24996168384728
8vp5cg8d,p02,2,41.18,22.6,32.3,2022/10/27 3:07:41,2022102703,w4lqxa01,512,0.75,0,1,0,05_D1H2,2,32,1,0,0,28,0.019,10,1,9,1,2,50,29.0,0,1,16.08362937,34.0,0,0.0,23.60997542698,24.074332116723106,0.0,0.0,18.42764173999018,31.57235826000982,20.51808022887029
8vp5cg8d,p02,2,41.18,22.6,32.3,2022/10/27 3:07:41,2022102703,w4lqxa01,512,0.75,0,1,0,05_D1H2,2,32,1,0,0,28,0.019,10,1,10,1,4,50,38.0,0,1,12.79980206,38.0,0,0.0,28.75854291268,31.57235826000982,0.0,0.0,11.762114722707047,38.23788527729295,29.692475802973576
