participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.contest_status,group.have_contest_winner,player.is_english_winner,player.english_dropout_elpased,group.english_time_elapsed,group.english_final_price,player.is_final_winner,group.final_price,player.payoff,group.auctioneer_utility,predict.player.optimal_dutch_bid,predict.player.is_dutch_winner,predict.player.contest_status,predict.player.english_dropout_elapsed,predict.player.is_english_winner,predict.player.is_final_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.english_time_elapsed,predict.group.english_final_price,predict.group.final_price,predict.group.auctioneer_utility
k9mr5w86,p07,7,28.2,23.3,33.1,2022/10/28 22:25:53,2022102822,btnhfeao,521,0.5,0,1,0,05_D2H1,2,32,1,0,0,25,0.019,5,0,1,2,5,32,44.0,1,1,17.97301006,15.0,1,4.0,1,12.8758924,12.8758924,27.0,1,27.0,0.0,11.174513038020002,0.0,1.0,1.0,44.0,0.0,0.0,0.0,32.0,0.0,44.0,44.0,44.0,44.0
k9mr5w86,p07,7,28.2,23.3,33.1,2022/10/28 22:25:53,2022102822,btnhfeao,521,0.5,0,1,0,05_D2H1,2,32,1,0,0,25,0.019,5,0,2,1,4,32,21.0,0,1,19.59288001,13.0,1,3.0,0,6.570380688,10.87350416,24.0,0,24.0,0.0,10.10732881848,0.0,1.0,1.0,21.0,0.0,0.0,-0.0,32.0,0.0,38.0,38.0,38.0,38.0
k9mr5w86,p07,7,28.2,23.3,33.1,2022/10/28 22:25:53,2022102822,btnhfeao,521,0.5,0,1,0,05_D2H1,2,32,1,0,0,25,0.019,5,0,3,1,2,32,34.0,1,1,13.04989004,19.0,1,3.0,1,12.05485463,12.05485463,32.0,1,32.0,1.1,16.736315240640003,0.0,1.0,1.0,34.0,0.0,0.0,0.0,32.0,0.0,34.0,34.0,34.0,34.0
k9mr5w86,p07,7,28.2,23.3,33.1,2022/10/28 22:25:53,2022102822,btnhfeao,521,0.5,0,1,0,05_D2H1,2,32,1,0,0,25,0.019,5,0,4,1,1,32,28.0,1,1,19.0301702,13.0,1,3.0,1,8.430959225,8.430959225,22.0,1,22.0,2.9,10.52124790035,0.0,1.0,1.0,23.0,1.0,1.0,5.0,32.0,0.0,23.0,23.0,23.0,23.0
k9mr5w86,p07,7,28.2,23.3,33.1,2022/10/28 22:25:53,2022102822,btnhfeao,521,0.5,0,1,0,05_D2H1,2,32,1,0,0,25,0.019,5,0,5,1,2,32,42.0,1,1,10.52149224,22.0,1,1.0,0,,0.0,22.0,1,22.0,16.2,17.602016243679998,0.0,1.0,1.0,23.0,1.0,1.0,19.0,32.0,0.0,23.0,23.0,23.0,23.0
k9mr5w86,p07,7,28.2,23.3,33.1,2022/10/28 22:25:53,2022102822,btnhfeao,521,0.5,0,1,0,05_D2H1,2,32,1,0,0,25,0.019,5,0,6,2,5,32,21.0,0,1,8.703069687,24.0,2,2.0,0,,2.861266136,27.0,0,27.0,0.0,21.067495722801,0.0,1.0,1.0,21.0,0.0,0.0,-0.0,32.0,0.0,25.0,25.0,25.0,25.0
k9mr5w86,p07,7,28.2,23.3,33.1,2022/10/28 22:25:53,2022102822,btnhfeao,521,0.5,0,1,0,05_D2H1,2,32,1,0,0,25,0.019,5,0,7,2,2,32,46.0,0,1,15.44880199,17.0,1,4.0,1,18.22546577,18.22546577,35.0,1,35.0,4.1,12.606611939600002,0.0,1.0,1.0,35.0,1.0,1.0,11.0,32.0,0.0,35.0,35.0,35.0,35.0
k9mr5w86,p07,7,28.2,23.3,33.1,2022/10/28 22:25:53,2022102822,btnhfeao,521,0.5,0,1,0,05_D2H1,2,32,1,0,0,25,0.019,5,0,8,2,2,32,30.0,0,1,3.88713932,29.0,2,2.0,0,,2.665588379,31.0,0,31.0,0.0,27.140443385289,0.0,1.0,1.0,30.0,0.0,0.0,0.0,32.0,0.0,30.0,30.0,30.0,30.0
k9mr5w86,p07,7,28.2,23.3,33.1,2022/10/28 22:25:53,2022102822,btnhfeao,521,0.5,0,1,0,05_D2H1,2,32,1,0,0,25,0.019,5,0,9,1,2,32,8.0,0,1,17.5364325,15.0,2,4.0,0,,22.1510396,37.0,0,37.0,0.0,9.0997071137,0.0,1.0,1.0,8.0,0.0,0.0,-0.0,32.0,0.0,39.0,39.0,39.0,39.0
k9mr5w86,p07,7,28.2,23.3,33.1,2022/10/28 22:25:53,2022102822,btnhfeao,521,0.5,0,1,0,05_D2H1,2,32,1,0,0,25,0.019,5,0,10,2,2,32,33.0,0,1,4.725107908,28.0,1,4.0,0,4.679503202,10.95117736,39.0,0,39.0,0.0,27.383872616412,0.0,1.0,1.0,33.0,0.0,0.0,-0.0,32.0,0.0,39.0,39.0,39.0,39.0
