participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.is_final_winner,player.payoff,group.auctioneer_utility,predict.player.bid,predict.player.is_dutch_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.auctioneer_utility
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,1,1,2,50,19.0,0,1,13.5754385,37.0,0,0,27.4564667345,9.5,0.0,-0.0,29.0,21.0,21.0
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,2,1,1,50,6.0,0,1,16.61017561,34.0,0,0,23.26982655594,3.0,0.0,-0.0,41.5,8.5,8.5
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,3,2,2,50,26.0,1,1,31.85439014,19.0,1,3,7.500565159460001,13.0,1.0,13.0,37.0,13.0,13.0
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,4,3,1,50,45.0,1,1,22.49300122,28.0,1,10,16.033723350960003,22.5,1.0,22.5,27.5,22.5,22.5
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,5,1,2,50,13.0,0,1,10.40909743,40.0,0,0,32.0890859532,6.5,0.0,-0.0,26.0,24.0,24.0
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,6,1,1,50,0.0,0,1,42.08781338,8.0,0,0,1.60265236624,0.0,0.0,-0.0,44.0,6.0,6.0
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,7,4,2,50,33.0,0,1,23.78164411,27.0,0,0,14.80001657157,16.5,1.0,16.5,33.5,16.5,16.5
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,8,5,2,50,29.0,1,1,32.65740681,18.0,1,4,6.831166870980001,14.5,1.0,14.5,35.5,14.5,14.5
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,9,3,2,50,22.0,0,1,23.77816081,27.0,0,0,14.80180350447,11.0,0.0,-0.0,27.0,23.0,23.0
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,10,1,2,50,32.0,1,1,28.87689137,22.0,1,5,9.92945940734,16.0,1.0,16.0,34.0,16.0,16.0
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,11,3,1,50,40.0,1,1,24.97376823,26.0,1,8,13.66295849438,20.0,1.0,20.0,30.0,20.0,20.0
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,12,1,1,50,28.0,1,1,33.94013786,17.0,1,4,6.0373354712200005,14.0,1.0,14.0,36.0,14.0,14.0
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,13,4,2,50,36.0,0,1,29.12325597,21.0,0,0,9.379820867970002,18.0,1.0,18.0,32.0,18.0,18.0
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,14,2,1,50,44.0,1,1,23.90824032,27.0,1,10,14.73507271584,22.0,1.0,22.0,28.0,22.0,22.0
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,15,2,1,50,14.0,0,1,36.47068167,14.0,0,0,4.2987986757800005,7.0,0.0,0.0,38.5,11.5,11.5
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,16,4,1,50,47.0,1,1,18.85375738,32.0,1,10,20.53691551296,23.5,1.0,23.5,26.5,23.5,23.5
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,17,3,1,50,26.0,1,1,34.95368648,16.0,1,4,5.374079310079999,13.0,1.0,13.0,37.0,13.0,13.0
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,18,4,1,50,10.0,0,1,32.10185266,18.0,0,0,7.021166390280001,5.0,0.0,-0.0,35.0,15.0,15.0
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,19,3,2,50,3.0,0,1,39.03568196,11.0,0,0,2.8415424703600003,1.5,0.0,-0.0,39.5,10.5,10.5
p9h85kcr,p09,9,175,58,117,2022/9/15 0:08:39,2022091500,cbdt6t3s,221,0.25,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,10,0,20,2,1,50,0.0,0,0,50.0,0.0,0,0,0.0,0.0,0.0,-0.0,49.5,0.5,0.5
