participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.contest_status,group.have_contest_winner,player.is_english_winner,player.english_dropout_elpased,group.english_time_elapsed,group.english_final_price,player.is_final_winner,group.final_price,player.payoff,group.auctioneer_utility,predict.player.optimal_dutch_bid,predict.player.is_dutch_winner,predict.player.contest_status,predict.player.english_dropout_elapsed,predict.player.is_english_winner,predict.player.is_final_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.english_time_elapsed,predict.group.english_final_price,predict.group.final_price,predict.group.auctioneer_utility
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,1,1,5,32,48.0,0,1,7.463690281,25.0,1,4.0,1,19.25441504,19.25441504,43.0,1,43.0,0,21.171307952743,0.0,1.0,1.0,45.0,1.0,1.0,3.0,32.0,0.0,45.0,45.0,45.0,45.0
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,2,1,1,32,26.0,0,1,2.764574289,30.0,2,1.0,0,,0.0,30.0,0,30.0,0,28.42419265527,0.0,1.0,1.0,26.0,0.0,0.0,-0.0,32.0,0.0,29.0,29.0,29.0,29.0
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,3,1,4,32,49.0,1,1,2.49562788,30.0,1,1.0,0,,0.0,30.0,1,30.0,18,28.5774921084,0.0,1.0,1.0,20.0,1.0,1.0,29.0,32.0,0.0,20.0,20.0,20.0,20.0
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,4,3,5,32,49.0,1,1,3.125146151,29.0,1,2.0,1,16.04639578,16.04639578,44.0,1,44.0,3,27.972590945684004,0.0,1.0,1.0,26.0,1.0,1.0,23.0,32.0,0.0,26.0,26.0,26.0,26.0
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,5,3,2,32,10.0,0,1,18.81003451,14.0,2,2.0,0,,5.775108337,19.0,0,19.0,0,10.124763432233,0.0,1.0,1.0,10.0,0.0,0.0,-0.0,32.0,0.0,22.0,22.0,22.0,22.0
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,6,2,3,32,49.0,1,1,2.686324596,30.0,1,3.0,1,7.127608061,7.127608061,36.0,1,36.0,11,29.287270062612,0.0,1.0,1.0,36.0,1.0,1.0,13.0,32.0,0.0,36.0,36.0,36.0,36.0
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,7,3,5,32,48.0,1,1,4.05031538,28.0,1,4.0,1,11.96959352,11.96959352,39.0,1,39.0,6,27.1292475051,0.0,1.0,1.0,40.0,1.0,1.0,8.0,32.0,0.0,40.0,40.0,40.0,40.0
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,8,2,1,32,39.0,0,1,2.676981211,30.0,1,4.0,0,7.752237558,16.82222176,46.0,0,46.0,0,28.957696603346,0.0,1.0,1.0,39.0,0.0,0.0,-0.0,32.0,0.0,46.0,46.0,46.0,46.0
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,9,1,4,32,41.0,1,1,3.636042356,29.0,1,2.0,1,5.842694283,5.842694283,34.0,1,34.0,6,27.876736131206,0.0,1.0,1.0,41.0,0.0,0.0,0.0,32.0,0.0,41.0,41.0,41.0,41.0
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,10,2,5,32,46.0,0,1,3.186980724,29.0,1,3.0,1,12.19924235,12.19924235,41.0,1,41.0,4,29.014132225354,0.0,1.0,1.0,42.0,1.0,1.0,4.0,32.0,0.0,42.0,42.0,42.0,42.0
